url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time
http://git.savannah.gnu.org/cgit/make.git/commit/?id=757849cd93a9bc361a5113e3aaafe516773aad44,23 Nov 2013,"[SV 40361] Don't use vsnprintf(), which is an ISO C99 function.

* output.c (error, fatal, message): Take an extra argument specifying
how many bytes are used by the formatted arguments.
(get_buffer): New function that allocates the requested buffer size.
Remove msc_vsnprintf(), vfmtconcat(), and fmtconcat() as unneeded.
* makeint.h: Declare various helper macros for generating output.
* *.c: Change all error(), fatal(), message() calls to use the macros,
or pass the extra length argument directly.",812,data/crawl/make/hunk_146.cpp,,,data/crawl/make/old_hunk_146.cpp,data/crawl/make/new_hunk_146.cpp,12,12,"error (NILF,
             _(""touch: Member '%s' does not exist in '%s'""), memname, arname);","OSS (error, NILF,
           _(""touch: Member '%s' does not exist in '%s'""), memname, arname);","[""updateLog"", ""addVariable""]","[[], [""OSS""]]",[4135046628040640522],1632,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_939.cpp,,,data/crawl/make/old_hunk_939.cpp,data/crawl/make/new_hunk_939.cpp,4,3,"printf (""child_execute_job (%s)\n"", argv);","DB (DB_JOBS, (""child_execute_job (%s)\n"", argv));","[""updateLog"", ""addContent"", ""removeContent"", ""addVariable""]","[[""printf""], [""DB"", ""DB_JOBS""]]",[-14606432489056652201],1631,"16 days, 16:00:00"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=0806a403d65ef6a7f16e2c17aa8286100ebad5d7,15 Feb 2006,"Fix Savannah bug #106: keep separate track of which variable we are
 expanding, and use that info when generating error messages instead of the
 file info, where appropriate.
",316,data/crawl/make/hunk_694.cpp,,,data/crawl/make/old_hunk_694.cpp,data/crawl/make/new_hunk_694.cpp,3,3,"fatal (reading_file, _(""unterminated variable reference""));","fatal (*expanding_var, _(""unterminated variable reference""));","[""updateVariable"", ""addVariable""]","[[""reading_file""], [""*expanding_var""]]",[7878917825621867405],1630,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=054d6d91e71bed0d188c2bfa62456610a31018a9,25 Apr 2013,"Improve MS-Windows build scripts.

 build_w32.bat: Improve.  Remove 'setlocal', as it isn't
 supported on Windows 9X.  Add --help and usage instructions.
 Support both debug and optimized builds with GCC under --debug.
 If building out of Git repo, always produce config.h, and edit
 gmk-default.scm into gmk-default.h.
 w32/subproc/build.bat: Support debug and optimized builds with
 GCC.",167,data/crawl/make/hunk_418.cpp,,,data/crawl/make/old_hunk_418.cpp,data/crawl/make/new_hunk_418.cpp,4,4,"fatal (NILF, _(""windows32_openpipe: DuplicateHandle(In) failed (e=%ld)\n""), e);","error (NILF, _(""windows32_openpipe: DuplicateHandle(In) failed (e=%ld)\n""), e);","[""updateLog""]","[[""fatal""], [""error""]]",[13232312713197993276],1629,"1 day, 0:00:00"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=757849cd93a9bc361a5113e3aaafe516773aad44,23 Nov 2013,"[SV 40361] Don't use vsnprintf(), which is an ISO C99 function.

* output.c (error, fatal, message): Take an extra argument specifying
how many bytes are used by the formatted arguments.
(get_buffer): New function that allocates the requested buffer size.
Remove msc_vsnprintf(), vfmtconcat(), and fmtconcat() as unneeded.
* makeint.h: Declare various helper macros for generating output.
* *.c: Change all error(), fatal(), message() calls to use the macros,
or pass the extra length argument directly.",812,data/crawl/make/hunk_147.cpp,,,data/crawl/make/old_hunk_147.cpp,data/crawl/make/new_hunk_147.cpp,3,3,"error (NILF, _(""lbr$set_module() failed to extract module info, status = %d""),
             status);","ON (error, NILF,
          _(""lbr$set_module() failed to extract module info, status = %d""),
          status);","[""updateLog"", ""addVariable""]","[[], [""ON""]]",[14208085359128289],1628,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=fb779d2f1e26a280f381886f3cdf444102676249,19 Nov 2017,"Rework directory structure to use GNU-recommended ""src"" directory.

Move the source code (other than glob) into the ""src"" subdirectory.
Update all scripting and recommendations to support this change.

* *.c, *.h, w32/*: Move to src/
* configure.ac, Makefile.am, maintMakefile: Locate new source files.
* Basic.mk.template, mk/*: Update for new source file locations.
* NEWS, README.DOS.template: Update for new locations.
* build.template, build_w32.bat, builddos.bat: Ditto.
* po/POTFILES.in: Ditto
* tests/run_make_tests.pl, tests/scripts/features/load*: Ditto.
* make.1: Move to doc.
* mk/VMS.mk: Add support for building on VMS (hopefully).
* makefile.vms, prepare_w32.bat: Remove.
* SCOPTIONS: Update to define HAVE_CONFIG_H",86633,data/crawl/make/hunk_29.cpp,,,data/crawl/make/old_hunk_29.cpp,data/crawl/make/new_hunk_29.cpp,-1,987,,"printf ("" %s"", dep_name (d));","[""addLog""]","[[], [""printf"", ""%s"", ""dep_name"", ""d""]]",[-1425134577617707651],1627,"1901 days, 18:00:00"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=fb779d2f1e26a280f381886f3cdf444102676249,19 Nov 2017,"Rework directory structure to use GNU-recommended ""src"" directory.

Move the source code (other than glob) into the ""src"" subdirectory.
Update all scripting and recommendations to support this change.

* *.c, *.h, w32/*: Move to src/
* configure.ac, Makefile.am, maintMakefile: Locate new source files.
* Basic.mk.template, mk/*: Update for new source file locations.
* NEWS, README.DOS.template: Update for new locations.
* build.template, build_w32.bat, builddos.bat: Ditto.
* po/POTFILES.in: Ditto
* tests/run_make_tests.pl, tests/scripts/features/load*: Ditto.
* make.1: Move to doc.
* mk/VMS.mk: Add support for building on VMS (hopefully).
* makefile.vms, prepare_w32.bat: Remove.
* SCOPTIONS: Update to define HAVE_CONFIG_H",86633,data/crawl/make/hunk_32.cpp,,,data/crawl/make/old_hunk_32.cpp,data/crawl/make/new_hunk_32.cpp,-1,1019,,"printf (""\n"");","[""addLog""]","[[], [""printf"", ""\\n""]]",[7249185625612668815],1626,"3282 days, 0:00:00"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_933.cpp,,,data/crawl/make/old_hunk_933.cpp,data/crawl/make/new_hunk_933.cpp,3,3,"printf (""Warning: Empty redirection\n"");","(_(""Warning: Empty redirection\n"");","[""addLog"", ""updateLog""]","[[""printf""], [""_""]]",[-7237409542704525881],1625,"64 days, 0:00:00"
http://git.savannah.gnu.org/cgit/make.git/commit/?id=43d81ff8669c3705ca3c61270af4a5c7218c2fe6,4 Nov 2007,"New special variable: .RECIPEPREFIX Allows the user to reset the
 prefix character for introducing recipe lines from the default (tab) to any
 other single character, and back again. Also, reworked the manual to
 consistently use the word ""recipe"" to describe the set of commands we use to
 update a target, instead of the various phrases used in the past: ""commands"",
 ""command lines"", ""command scripts"", etc.
",2338,data/crawl/make/hunk_625.cpp,,,data/crawl/make/old_hunk_625.cpp,data/crawl/make/new_hunk_625.cpp,3,3,"fputs (_(""#  commands to execute""), stdout);","fputs (_(""#  recipe to execute""), stdout);","[""updateContent""]","[[""commands""], [""recipe""]]",[-8797178968396140758],1624,0:00:00
http://git.savannah.gnu.org/cgit/make.git/commit/?id=757849cd93a9bc361a5113e3aaafe516773aad44,23 Nov 2013,"[SV 40361] Don't use vsnprintf(), which is an ISO C99 function.

* output.c (error, fatal, message): Take an extra argument specifying
how many bytes are used by the formatted arguments.
(get_buffer): New function that allocates the requested buffer size.
Remove msc_vsnprintf(), vfmtconcat(), and fmtconcat() as unneeded.
* makeint.h: Declare various helper macros for generating output.
* *.c: Change all error(), fatal(), message() calls to use the macros,
or pass the extra length argument directly.",812,data/crawl/make/hunk_226.cpp,,,data/crawl/make/old_hunk_226.cpp,data/crawl/make/new_hunk_226.cpp,3,-1,"fatal (NILF, _(""virtual memory exhausted""));",,"[""removeLog""]","[[""fatal"", ""NILF"", ""_"", ""virtual"", ""memory"", ""exhausted""], []]",[-4646037859876326515],1623,0:00:00
