url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_943.cpp,use same text format,trivial,data/crawl/make/old_hunk_943.cpp,data/crawl/make/new_hunk_943.cpp,3,3,"printf(""Unknown builtin command '%s'\n"", cmd);","printf(_(""Unknown builtin command '%s'\n""), cmd);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=90f23f1ea6e436d681db81aa80edb7a763de2b12,5 Feb 2000,"* Updates for VMS, Windows, and DOS ports. * Clean up some warnings.
",206,data/crawl/make/hunk_945.cpp,use same text format,trivial,data/crawl/make/old_hunk_945.cpp,data/crawl/make/new_hunk_945.cpp,3,3,"printf (""Error spawning, %d\n"",status);","printf (_(""Error spawning, %d\n"") ,status);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=09f1e4cf83853e3636a19da17e28e7291aac9bbd,1 Aug 1999,"* Applied some DOS updates. * Started reworking the jobserver
 algorithm; not complete yet.
",303,data/crawl/make/hunk_1065.cpp,use same text format,trivial,data/crawl/make/old_hunk_1065.cpp,data/crawl/make/new_hunk_1065.cpp,3,3,"fprintf (usageto, ""Usage: %s [options] [target] ...\n"", program);","fprintf (usageto, _(""Usage: %s [options] [target] ...\n""), program);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1069.cpp,use same text format,trivial,data/crawl/make/old_hunk_1069.cpp,data/crawl/make/new_hunk_1069.cpp,3,3,"fatal (NILF, ""attempt to use unsupported feature: `%s'"", name);","fatal (NILF, _(""attempt to use unsupported feature: `%s'""), name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1070.cpp,use same text format,trivial,data/crawl/make/old_hunk_1070.cpp,data/crawl/make/new_hunk_1070.cpp,3,3,"error (NILF, ""touch archive member is not available on VMS"");","error (NILF, _(""touch archive member is not available on VMS""));","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1071.cpp,use same text format,trivial,data/crawl/make/old_hunk_1071.cpp,data/crawl/make/new_hunk_1071.cpp,3,3,"error (NILF, ""touch: Archive `%s' does not exist"", arname);","error (NILF, _(""touch: Archive `%s' does not exist""), arname);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1071.cpp,use same text format,trivial,data/crawl/make/old_hunk_1071.cpp,data/crawl/make/new_hunk_1071.cpp,6,6,"error (NILF, ""touch: `%s' is not a valid archive"", arname);","error (NILF, _(""touch: `%s' is not a valid archive""), arname);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1071.cpp,use same text format,trivial,data/crawl/make/old_hunk_1071.cpp,data/crawl/make/new_hunk_1071.cpp,12,12,"error (NILF,
             ""touch: Member `%s' does not exist in `%s'"", memname, arname);","error (NILF,
             _(""touch: Member `%s' does not exist in `%s'""), memname, arname);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1071.cpp,use same text format,trivial,data/crawl/make/old_hunk_1071.cpp,data/crawl/make/new_hunk_1071.cpp,19,19,"error (NILF,
             ""touch: Bad return code from ar_member_touch on `%s'"", name);","error (NILF,
             _(""touch: Bad return code from ar_member_touch on `%s'""), name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1072.cpp,use same text format,trivial,data/crawl/make/old_hunk_1072.cpp,data/crawl/make/new_hunk_1072.cpp,3,3,"error (NILF, ""lbr$set_module failed to extract module info, status = %d"",
	     status);","error (NILF, _(""lbr$set_module failed to extract module info, status = %d""),
	     status);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
